"","x"
"419",-3.61312899502834
"420",-3.0467966223437
"421",-3.6783307166882
"422",-2.09296483248768
"423",-3.710035254012
"424",0.592967332087724
"425",-3.15761306286686
"426",-2.68897179894961
"427",-2.75571716342944
"428",-2.47339982678682
"429",-4.48156601970925
"430",-2.91084677902298
"431",-3.00465335539875
"432",-4.31768718852932
"433",-1.00833242391979
"434",-3.95161179458995
"435",-2.46424540121204
"436",-0.800025066161721
"437",-3.38537493701771
"438",-4.23128063172408
"439",-4.4288493876762
"440",-4.13613498057969
"441",-3.66852400166526
"442",-3.40395063081293
"443",-1.05053642644735
"444",-3.68992088598778
"445",-1.69037568434944
"446",-1.80264148242621
"447",-3.59552427654098
"448",-4.13108461233742
"449",-2.06615383991303
"450",-0.311807737502388
"451",-2.30096359624893
"452",-2.48721562473138
"453",-3.59926805445181
"454",-3.78664321277918
"455",0.502970367908723
"456",-3.55109181711298
"457",-4.40780049710991
"458",-3.02002487429098
"459",-2.48494394442202
"460",-3.92989638329597
"461",-2.61039838570769
"462",-4.081538084758
"463",-4.32129838529719
"464",-3.49860495919551
"465",-1.80917515614528
"466",-3.63363737234063
"467",-3.80414689113952
"468",-4.54417379779099
"469",-3.64230077589636
"470",-3.24550062768745
"471",-3.36728444942743
"472",-2.81910777825142
"473",-2.20256437423809
"474",-3.26111887979171
"475",-3.15503685882866
"476",-1.92817173866461
"477",-2.85832905616945
"478",-3.72119951728925
"479",-4.02480759907849
"480",-3.50296509647296
"481",-3.20216082985904
"482",-4.00854060863899
"483",-4.14227792776794
"484",-3.51812760525545
"485",-3.69219127391902
"486",-4.04160052159997
"487",-2.74360934562433
"488",-3.9013258020378
"489",-0.254372433742934
"490",-3.05142145277514
"491",-2.23006872815469
"492",-1.87193567095803
"493",-3.27391368540571
"494",-3.57339086658506
"495",-3.53791025234188
"496",-2.44970563296753
"497",-4.23670459642155
"498",-2.84236877875122
"499",-1.61471807303789
"500",-4.13461012424492
"501",-3.61849902092494
"502",-3.52836890502951
"503",-2.20032130316497
"504",-1.9606174437558
"505",18.299726001577
"506",-3.06555255464284
"507",-3.59529057781406
"508",-3.88810107932558
"509",-2.67513668163685
"510",-3.40490772320748
"511",-1.79842814394651
"512",-2.12127372129848
"513",-3.29207611722117
"514",-3.37708693636737
"515",-4.55809066567403
"516",-4.24323603077783
"517",-3.08032442804577
"518",-1.97523923994154
"519",-1.8523874002997
"520",-3.35213356091589
"521",-2.65670013471151
"522",-3.34344253248002
"523",-1.88473749925378
"524",-1.09142935292142
"525",-3.48153827741336
"526",-2.64498027783556
"527",-4.0209958388486
"528",-3.86961897990401
"529",-0.624898615634094
"530",-0.407957898163972
"531",0.152574092356516
"532",-3.51387604631755
"533",-3.86911635496355
"534",-3.20077369898405
"535",-2.17761741600749
"536",-3.8095512701628
"537",-3.68838911454895
"538",-2.20824118360673
"539",-3.56391227021955
"540",-3.1524309945469
"541",-3.40154231683851
"542",-3.12968986544197
"543",-1.7800214969363
"544",-1.27038391230088
"545",-3.69852688469277
"546",-3.61503755464577
"547",-4.60061343548351
"548",-3.08224779098937
"549",-3.53594044360813
"550",-2.7888287901883
"551",-1.97836426832204
"552",-1.87239673119428
"553",-2.18055569809601
"554",-4.54667000248938
"555",-4.2546771404263
"556",-3.02349101113067
"557",-2.01385596079732
"558",-3.12530337292397
"559",-4.46506867705981
"560",-3.14452339392388
"561",-3.76414981537577
"562",-4.24879996910562
"563",-3.07463567521382
"564",-4.16725398862392
"565",-2.81989743795912
"566",-1.47928145806348
"567",-3.25211390779348
"568",-1.58135761149485
"569",-4.11326033950105
"570",-2.3173777003869
"571",-1.87862075707477
"572",-4.09354690861751
"573",-3.00474119107443
"574",-3.98132614257326
"575",-0.125398364039161
"576",-4.398229961826
"577",-4.07328064860701
"578",0.0171074949768862
"579",-3.24716304980244
"580",-2.70768340225702
"581",-3.51305405369895
"582",-3.77247081809437
"583",-3.93478624067969
"584",-3.20579250837922
"585",-0.431985895581079
"586",-3.78108248397632
"587",-0.128638022542888
"588",-1.36860246776607
"589",-3.6983227751712
"590",-4.42044641011186
"591",-1.67914277675054
"592",-3.55885482633667
"593",-3.20498296438402
"594",-3.06417132554403
"595",-3.07039735019215
"596",-2.45286516007185
"597",-2.42027526645867
"598",-3.60563104676595
"599",-4.36018262561094
"600",-4.74399635959406
"601",-3.4626926584347
"602",-4.08795310003747
"603",-1.49172322970682
"604",-3.34598983207064
"605",-3.18813933771893
"606",-3.71089045193858
"607",-4.0338659844344
"608",-3.83409597973988
"609",-2.99374311803609
"610",-2.16074807229393
"611",-3.11650097068189
"612",-4.73986079685575
"613",-3.85610999514464
"614",-4.10652921593536
"615",-2.93488852285293
"616",-3.58426613961041
"617",-2.27227034997186
"618",-2.85789518840767
"619",-3.56001257212363
"620",-2.59293921076862
"621",-3.23587962379363
"622",-4.43749515302962
"623",-4.06087806730784
"624",-3.82472983462848
"625",-2.37288059334055
"626",-2.06196009386949
"627",-4.13729742830681
"628",-4.20320927314704
"629",-3.14031426653701
"630",-3.88524793877503
"631",-3.42243363482226
"632",-3.27359140325582
"633",-2.73646335322234
"634",-2.3561426369202
"635",-1.9942462512989
"636",-2.98624608876417
"637",-4.06746664998935
"638",-3.16591216061533
"639",-4.5082547946025
"640",-4.0893252754916
"641",-3.79777910495735
"642",-4.28741762301686
"643",-4.43490021860685
"644",-3.27071735779192
"645",-3.38208979866945
"646",-3.8175010667704
"647",-3.57373810739994
"648",-2.71234375038213
"649",-1.5681971930856
"650",-3.23485427666323
"651",-4.64351855194214
"652",-4.58084708327111
"653",-2.31291456316128
"654",-1.39843708277815
"655",-2.71617074802145
"656",-3.14611017043278
"657",-3.80207671251739
"658",-3.50571856119012
"659",-4.1443192318441
"660",-4.08219120321945
"661",-3.42058171939933
"662",-1.81674338599847
"663",-4.25754538435952
"664",-2.06292269821298
"665",-2.8285233565229
"666",-3.87848400402864
"667",-3.12849758087294
"668",-4.09125085473082
"669",-3.64534334483628
"670",-3.77780956008763
"671",-4.23974810050255
"672",-4.38025708705977
"673",-2.72808304061284
"674",-1.4954553890469
"675",-3.15013351587171
"676",-3.84987169325497
"677",-3.81103627756097
"678",-3.85024768699354
"679",-4.22964883951291
"680",-4.06473787295562
"681",-3.56199600254548
"682",-4.28246872113306
"683",-3.29737613802264
"684",-3.91480860491315
"685",-2.20727064312633
"686",-3.06618864054419
"687",-4.34870758858802
"688",-4.32981939298637
"689",-4.2420140416376
"690",-3.17082024658508
"691",-3.21178934291646
"692",-2.28412565478348
"693",-1.46341441530798
"694",-2.9657789547776
"695",-3.08739846554536
"696",-2.01103334240996
"697",-4.40108996551542
"698",-3.76739954426157
"699",-3.21835923174395
"700",-1.56437989324866
"701",-3.41768933720157
"702",-3.55814480791515
"703",-3.54699607339949
"704",-4.24891876857173
"705",-2.83559741292749
"706",-2.32896448725318
"707",-4.25884243230786
"708",-3.76180008733637
"709",-1.98977319980236
"710",-1.973985122595
"711",-1.58921413032386
"712",-1.70972677055253
"713",-3.82045191926279
"714",-2.06706094211617
"715",-4.55749079275119
"716",-3.82040223790846
"717",-3.73094086565575
"718",-3.37682043372495
"719",-3.68239255182883
"720",-2.62713883981749
"721",-3.89555746307785
"722",-3.98475453333127
"723",-2.0064781408541
"724",-2.47438438958327
"725",-3.75227438500274
"726",-3.70540705472743
"727",-3.46979318881486
"728",-2.99677222530318
"729",-0.367432208708204
"730",-4.13089045173014
"731",-2.91223952106118
"732",-4.38276870104102
"733",-1.8315018487869
"734",-3.99382888554501
"735",-4.23356096076078
"736",-3.51361138608239
"737",-3.63791506017769
"738",-2.87192025775649
"739",-3.38080924495268
"740",-2.6603353755425
"741",-4.58469793515906
"742",-4.233808499429
"743",-3.44411991620371
"744",-3.67842553139049
"745",-3.22074030912899
"746",-2.42263546028068
"747",-4.16865315448229
"748",-3.46021308592604
"749",-3.88692262011201
"750",-3.78570830092387
"751",-3.94139879241828
"752",-2.90046835527718
"753",-4.18456160125609
"754",-3.74815603675219
"755",-3.73289992777081
"756",-4.02096311944803
"757",-3.95516908179119
"758",-3.6761172751924
"759",-2.91487564256182
"760",-2.238548981842
"761",-3.84720054643581
"762",-3.28265272708964
"763",-2.47721735041348
"764",-1.22555867890621
"765",-2.66936447734292
"766",-1.96488943217745
"767",-3.97028072767423
"768",-3.65170078793021
"769",-4.44899622427494
"770",-4.00097533177585
"771",-2.87857916603175
"772",-3.79405431566013
"773",-3.83052510576769
"774",0.570410925120603
"775",-3.67839669188826
"776",-4.10991697781263
"777",-3.41162415910117
"778",-3.27416072769703
"779",-1.71782006018566
"780",-3.77579264102526
"781",-2.1385148298274
"782",-4.32192282655403
"783",-3.81679233979284
"784",-3.73292878486947
"785",-3.42260242547816
"786",-2.27876624789697
"787",-3.88348656516627
"788",-4.13152951949621
"789",-3.88613022282943
"790",-2.34143724796718
"791",-4.62520073583861
"792",-3.7511265584268
"793",-3.71940408869454
"794",-3.93730022066857
"795",-1.29521788123422
"796",-2.76247171687168
"797",-1.35326524312826
"798",-3.95371579794253
"799",-3.67592027286667
"800",-4.23780069832413
"801",-3.87130553028583
"802",-2.11033030017228
"803",-3.54047802468169
"804",-1.06157885829374
"805",-4.42181911339255
"806",-3.36801347566499
"807",-1.70629622282179
"808",-3.3896032057337
"809",-1.87439675123181
"810",-4.50196849792034
"811",-0.925909971635242
"812",-4.6665557251636
"813",-2.04063916253723
"814",-2.44365714310844
"815",-2.86481755933252
"816",-3.12626676577746
"817",-4.2886786570523
"818",-4.18994584381981
"819",-4.06395701144844
"820",-3.83586408281124
"821",-2.22287808648038
"822",1.05892886300797
"823",-2.86256432982989
"824",-2.76663633036999
"825",-1.28702744927397
"826",-4.4256409059075
"827",-3.9304637545508
"828",-2.61008401485968
"829",-4.13196689398355
"830",-3.47927622958665
"831",-3.91310478110425
"832",-3.77038073686327
"833",-4.03704718764912
"834",-4.17720959698107
"835",-3.77971001762062
"836",-2.90246875171045
"837",-1.16485685797038
"838",-3.40722612749418
"839",-1.91863022755063
"840",-3.50530023467727
"841",-3.45004349439487
"842",-3.32023799982469
"843",-4.13292019396516
"844",-2.58188968567926
"845",-3.38102341939435
"846",-1.27823017032419
"847",-3.75612806562992
"848",-2.05629035701189
"849",-2.27766341673072
"850",-3.6180915011759
"851",-3.59913656472245
"852",-3.84568941641159
"853",-3.0126751478597
"854",-3.81925903203049
"855",-3.64489870723079
"856",-4.29335635255692
"857",-3.05879619612194
"858",-2.40463679764223
"859",-2.4716837413983
"860",-3.21064198443861
"861",-3.06925585864739
"862",-1.20962140914078
"863",-2.19371726339901
"864",-4.0364877627664
"865",-1.82693890938659
"866",-1.6201268904288
"867",-3.04053106551295
"868",-1.901779130692
"869",-3.80070336987322
"870",-4.02472367096802
"871",-2.96583149042982
"872",-4.19686746302695
"873",-2.79009167861653
"874",-4.12501521088328
"875",-1.91882145120956
"876",-3.11175050235235
"877",-3.88818637879848
"878",-3.69245171857694
"879",-3.40705855844782
"880",-3.42133034962068
"881",-1.42293950253549
"882",-1.89070795943627
"883",-2.502419507206
"884",-2.08963489039022
"885",-2.06323929127323
"886",-3.74457636037735
"887",-3.7010385191674
"888",-4.02342973412109
"889",-1.5187853406218
"890",-3.68314674477318
"891",-3.50822860961388
"892",-2.65500181761247
"893",-3.72999320218401
"894",-4.2185970792818
"895",-3.76074914066076
"896",-3.97586584948564
"897",-4.73535150303413
"898",-3.15560417236051
"899",-3.81858649980814
"900",-3.73591981899146
"901",-4.0668577578621
"902",-3.77935827511575
"903",-4.51793277859237
"904",-4.60316865466574
"905",-3.99082173627495
"906",-4.22924097603171
"907",-3.60368102012566
"908",-1.05410968499829
"909",-3.23393743290863
"910",-3.3112943430355
"911",-1.1150712750206
"912",-2.40969863947789
"913",0.8056886154059
"914",-3.90919290404506
"915",-3.22878960865735
"916",-4.04287735888187
"917",-2.21355104759196
"918",-3.74757093758906
"919",-3.82917526444529
"920",-4.2097552701553
"921",-3.68107461432632
"922",-3.28906490554288
"923",-3.53829403941894
"924",-3.42454220306502
"925",-4.07679780345278
"926",-3.50643030380582
"927",-3.67207246338202
"928",-4.44360254321578
"929",-1.53610355143598
"930",-4.33513864316218
"931",-3.34021645263258
"932",-3.86831789732986
"933",-2.8126209100031
"934",-3.72898187664081
"935",-2.95819598580617
"936",-4.02078662264773
"937",-2.53379763559068
"938",-2.76887075010592
"939",-3.48561492819308
"940",-4.58718504736006
"941",-3.53734699330857
"942",-3.82936596561094
"943",-2.893902373889
"944",-3.19622316336884
"945",-2.14492433291382
"946",-3.03429357138887
"947",-2.56314964571456
"948",-3.8653995502808
"949",-0.408482066790619
"950",-1.74085171047621
"951",-1.64007020629929
"952",-2.30381249378929
"953",-1.44738792045739
"954",-2.32845818711109
"955",-3.2996279652525
"956",-3.22607275804997
"957",-2.33569435174445
"958",-3.63993581657621
"959",-1.90205976941207
"960",-3.19723469518339
"961",-3.16098620064899
"962",-0.688266252112539
"963",-3.43728749772654
"964",-3.30694488283168
"965",-2.99237076296707
"966",-3.00177703637322
"967",-4.59531641338339
"968",-4.10231926686645
"969",-3.29523375255838
"970",-2.64172475245052
"971",-3.6506451538512
"972",-4.06479039464672
"973",-4.07847273710884
"974",-3.63392735223906
"975",-2.30842061724868
"976",-3.42799780350789
"977",-3.9816497041435
"978",-3.66228999717011
"979",-4.54463863854157
"980",-4.15655094509857
"981",-1.22152131836958
"982",-3.80222546361297
"983",-3.1376396746827
"984",-2.8529396496087
"985",-3.35190800327142
"986",-3.62133895327663
"987",-3.82176125199158
"988",-3.56032298128342
"989",-3.09416192873273
"990",-1.59676826403043
"991",-4.05592695227199
"992",-3.36998283733099
"993",-3.5680073240652
"994",-3.58988144734392
"995",-3.18378605204121
"996",-1.64203455488284
"997",-2.41638914432538
"998",-2.11776214834632
"999",-2.24724505662907
"1000",-1.90612889849079
"1001",-3.13952206365619
"1002",-3.89251734415248
"1003",-3.45814976200956
"1004",-3.84252013209732
"1005",-1.03762935471345
"1006",-3.89497431471153
"1007",-3.44060355086007
"1008",-3.34744140100335
"1009",-3.52845985557989
"1010",-3.5567221385523
"1011",-3.55938266668387
"1012",-1.90963783284615
"1013",-3.01915702106752
"1014",-3.67966603406851
"1015",-3.1555933184517
"1016",-2.29424166814505
"1017",-3.40420460389016
"1018",-3.14236966915129
"1019",-2.15093913589892
"1020",-3.86831298331242
"1021",-2.52386089492994
"1022",-2.32103115575989
"1023",-2.96922316819328
"1024",-4.44093181700944
"1025",-3.149585422722
"1026",-3.60636465982999
"1027",-4.27836090120812
"1028",-2.7477001435257
"1029",-3.04297347678449
"1030",-4.86024804319192
"1031",-4.12622442251365
"1032",-3.81641152983232
"1033",-2.73468674403658
"1034",-1.87883752621411
"1035",-0.581145609859984
"1036",-4.28793837419483
"1037",-4.21696649946122
"1038",-3.51897074513443
"1039",-3.36118968684129
"1040",-2.74961966764673
"1041",-3.19249357414766
"1042",-0.547492371198122
"1043",-3.67043059579806
"1044",-3.5567876605716
"1045",-2.98974573184971
"1046",-1.0131781147122
"1047",-3.21803069483452
"1048",-3.00336856391152
"1049",-3.94809031924992
"1050",-0.988214377133721
"1051",-4.33458979281994
"1052",-4.43542207978943
"1053",-3.73742753372491
"1054",-4.49444066095536
"1055",-3.73934107864585
"1056",-1.82551440119783
"1057",-3.3542317395899
"1058",-3.49321468203072
"1059",-3.47147171940718
"1060",-3.6316027368955
"1061",-1.90759423979025
"1062",-3.7590669772127
"1063",-2.90469184527944
"1064",-2.5721910896768
"1065",-1.02714202681217
"1066",-1.37099388460482
"1067",-3.21450685734284
"1068",-3.00229039688801
"1069",-2.0977640666564
"1070",-1.73394006275945
"1071",-2.73398617489356
"1072",-2.17860997675323
"1073",-4.50045433223818
"1074",-1.21851976429516
"1075",-3.0163439573294
"1076",-2.51115523595498
"1077",-2.80189220796937
"1078",-3.34079712991506
"1079",-2.52628339434348
"1080",-3.89697253382977
"1081",-3.82216305840018
"1082",-3.97137022286775
"1083",-4.09045256895045
"1084",-2.42430982988899
"1085",-3.7339773306171
"1086",-2.13893912610507
"1087",-4.44806948081582
"1088",-2.35132906738731
"1089",-2.07214753966137
"1090",-4.12317526858227
"1091",-3.98836868208436
"1092",-2.24569020985369
"1093",-2.42102142917479
"1094",-2.32997803826172
"1095",-4.09757609601391
"1096",-3.0901641775118
"1097",-2.11872575887273
"1098",-3.34101949478548
"1099",-3.84140295844
"1100",-3.98788193371474
"1101",-2.42848950934047
"1102",0.0959519193365742
"1103",-3.72324947271485
"1104",-3.42246722891496
"1105",-3.49057181671954
"1106",-0.926798198949303
"1107",-3.46162221257185
"1108",-1.38838725610899
"1109",-3.55718193971985
"1110",-4.05323043437374
"1111",-3.94724949291647
"1112",-2.30365966270522
"1113",-4.06422973018831
"1114",-3.83586829536962
"1115",-3.88704898958072
"1116",-2.61313794102953
"1117",-2.25293447710863
"1118",-1.75300344104447
"1119",-2.91445843656407
"1120",-2.46066943633098
"1121",-2.59121708528676
"1122",-1.77425049260458
"1123",-2.50397479760791
"1124",-3.28572547431332
"1125",-3.06790866591892
"1126",-2.68604828619156
"1127",-1.97206401617942
"1128",-3.81355089551596
"1129",-3.06532094340283
"1130",-3.54299827125006
"1131",-2.51372880399013
"1132",-3.79875647472582
"1133",-3.2267090941788
"1134",-4.0906171552285
"1135",-3.08241823653918
"1136",-3.52688120052682
"1137",-1.79251136987888
"1138",-4.04200042847965
"1139",-1.50759645722544
"1140",-2.49040782436732
"1141",-3.79974166581785
"1142",-2.69166047306768
"1143",-3.87358668260698
"1144",-3.26490171245656
"1145",-3.22280475674444
"1146",-1.88692357340353
"1147",-2.31230471571127
"1148",-0.046978671356921
"1149",-1.96909860992549
"1150",-3.37394196403888
"1151",-2.68016108713019
"1152",-4.37063109424474
"1153",-2.38756470246529
"1154",-1.07055923471208
"1155",-4.2415257869844
